CLASS_NUM,CLASS_STR,LANES,LANES_WID,MEDIAN_WID,SHLD_TOT
1,Arterial,6,12,3,13
1,Arterial,6,12,3,14
1,Arterial,6,12,3,13
1,Arterial,6,12,3,13
1,Arterial,6,12,3,13
1,Arterial,6,12,3,20
1,Arterial,6,12,3,13
1,Arterial,6,12,3,16
1,Arterial,6,12,3,20
1,Arterial,6,12,3,13
1,Arterial,6,12,3,13
1,Arterial,6,12,3,13
1,Arterial,7,12,3,17
1,Arterial,7,12,3,17
1,Arterial,7,12,3,17
1,Arterial,7,12,3,17
1,Arterial,8,12,3,25
1,Arterial,8,12,3,17
1,Arterial,8,12,3,14
1,Arterial,8,12,3,14
1,Arterial,8,12,3,26
1,Arterial,8,12,3,20
1,Arterial,8,12,3,26
1,Arterial,8,12,3,26
1,Arterial,8,12,3,20
1,Arterial,8,12,3,26
1,Arterial,8,12,3,26
1,Arterial,8,12,3,26
1,Arterial,8,12,3,26
1,Arterial,8,12,3,26
1,Arterial,8,12,3,26
1,Arterial,8,12,3,26
1,Arterial,9,12,3,24
1,Arterial,9,12,3,24
1,Arterial,10,12,3,20
1,Arterial,10,12,3,20
1,Arterial,4,12.5,3,0
1,Arterial,4,12.5,3,0
1,Arterial,4,12.5,3,10
1,Arterial,4,13,3,6
1,Arterial,4,13,3,6
1,Arterial,4,13,3,20
1,Arterial,4,13,3,0
1,Arterial,10,13.2,3,20
1,Arterial,3,13.33333333,3,24
1,Arterial,4,13.5,3,0
1,Arterial,4,13.5,3,0
1,Arterial,4,13.5,3,0
1,Arterial,4,13.5,3,0
1,Arterial,6,14,3,17
1,Arterial,6,14,3,0
1,Arterial,6,14,3,0
1,Arterial,5,14.4,3,25
1,Arterial,10,14.4,3,20
1,Arterial,10,14.4,3,20
1,Arterial,10,14.4,3,20
1,Arterial,6,16,3,20
1,Arterial,6,16,3,20
1,Arterial,6,16,3,20
1,Arterial,6,16,3,20
1,Arterial,6,16,3,20
1,Arterial,4,18,3,8
1,Arterial,4,18,3,8
1,Arterial,4,27,3,24
1,Arterial,6,11.66666667,2,0
